Time,Open,High,Low,Close,Vol
2026.07.20 06:40:00,2408.19,2408.69,2407.01,2407.80,322
2026.07.20 06:41:00,2407.80,2408.51,2407.20,2407.77,381
2026.07.20 06:42:00,2407.77,2408.67,2407.62,2408.03,282
2026.07.20 06:43:00,2408.03,2408.66,2407.31,2408.00,388
2026.07.20 06:44:00,2408.00,2408.95,2407.71,2408.36,162
2026.07.20 06:45:00,2408.36,2409.60,2408.03,2408.91,221
2026.07.20 06:46:00,2408.91,2409.03,2408.01,2408.26,201
2026.07.20 06:47:00,2408.26,2409.53,2407.66,2409.16,140
2026.07.20 06:48:00,2409.16,2409.81,2408.91,2409.16,264
2026.07.20 06:49:00,2409.16,2409.24,2408.61,2409.08,87
2026.07.20 06:50:00,2409.08,2409.64,2408.67,2408.88,203
2026.07.20 06:51:00,2408.88,2409.75,2408.53,2408.99,59
2026.07.20 06:52:00,2408.99,2409.53,2408.80,2408.81,165
2026.07.20 06:53:00,2408.81,2409.36,2408.16,2409.19,242
2026.07.20 06:54:00,2409.19,2410.21,2408.63,2409.72,58
2026.07.20 06:55:00,2409.72,2410.13,2408.89,2409.42,167
2026.07.20 06:56:00,2409.42,2410.18,2409.00,2410.02,413
2026.07.20 06:57:00,2410.02,2410.53,2408.66,2409.18,210
2026.07.20 06:58:00,2409.18,2410.17,2408.54,2409.95,448
2026.07.20 06:59:00,2409.95,2410.40,2409.01,2409.55,395
2026.07.20 07:00:00,2409.55,2410.22,2408.80,2410.15,85
2026.07.20 07:01:00,2410.15,2410.79,2409.76,2410.01,394
2026.07.20 07:02:00,2410.01,2410.78,2409.66,2410.46,54
2026.07.20 07:03:00,2410.46,2411.12,2409.82,2410.46,449
2026.07.20 07:04:00,2410.46,2411.33,2410.45,2411.08,152
2026.07.20 07:05:00,2411.08,2411.90,2410.55,2411.35,245
2026.07.20 07:06:00,2411.35,2412.64,2411.24,2412.09,278
2026.07.20 07:07:00,2412.09,2412.68,2411.84,2412.33,324
2026.07.20 07:08:00,2412.33,2412.70,2412.06,2412.50,97
2026.07.20 07:09:00,2412.50,2414.13,2412.09,2413.57,380
2026.07.20 07:10:00,2413.57,2413.95,2412.56,2412.95,104
2026.07.20 07:11:00,2412.95,2413.01,2412.46,2413.00,206
2026.07.20 07:12:00,2413.00,2413.10,2412.71,2412.81,358
2026.07.20 07:13:00,2412.81,2413.70,2412.64,2413.41,238
2026.07.20 07:14:00,2413.41,2413.49,2412.34,2413.05,192
2026.07.20 07:15:00,2413.05,2413.25,2412.52,2412.99,440
2026.07.20 07:16:00,2412.99,2413.77,2412.33,2413.52,165
2026.07.20 07:17:00,2413.52,2413.97,2412.97,2413.55,323
2026.07.20 07:18:00,2413.55,2414.16,2412.96,2412.98,102
2026.07.20 07:19:00,2412.98,2413.63,2412.42,2413.34,301
2026.07.20 07:20:00,2413.34,2413.68,2412.90,2413.25,286
2026.07.20 07:21:00,2413.25,2414.61,2412.76,2413.86,211
2026.07.20 07:22:00,2413.86,2413.90,2412.90,2413.23,210
2026.07.20 07:23:00,2413.23,2413.99,2412.89,2413.96,201
2026.07.20 07:24:00,2413.96,2414.20,2413.15,2413.91,337
2026.07.20 07:25:00,2413.91,2414.28,2413.29,2413.82,408
2026.07.20 07:26:00,2413.82,2414.33,2413.32,2413.85,274
2026.07.20 07:27:00,2413.85,2414.60,2413.83,2414.00,312
2026.07.20 07:28:00,2414.00,2414.59,2413.18,2413.94,260
2026.07.20 07:29:00,2413.94,2414.04,2413.17,2413.35,413
2026.07.20 07:30:00,2413.35,2413.70,2412.66,2413.45,360
2026.07.20 07:31:00,2413.45,2414.07,2412.78,2413.91,379
2026.07.20 07:32:00,2413.91,2414.03,2413.39,2413.46,148
2026.07.20 07:33:00,2413.46,2414.13,2413.41,2413.74,180
2026.07.20 07:34:00,2413.74,2414.34,2413.70,2414.19,151
2026.07.20 07:35:00,2414.19,2414.70,2413.36,2413.81,96
2026.07.20 07:36:00,2413.81,2414.32,2413.28,2413.78,178
2026.07.20 07:37:00,2413.78,2414.40,2413.16,2413.96,219
