Time,Open,High,Low,Close,Vol
2026.07.20 08:00:00,20160.0,20163.7,20156.5,20158.0,634
2026.07.20 08:01:00,20158.0,20163.0,20153.4,20158.6,505
2026.07.20 08:02:00,20158.6,20160.9,20156.2,20156.5,689
2026.07.20 08:03:00,20156.5,20160.2,20154.8,20157.6,414
2026.07.20 08:04:00,20157.6,20159.1,20152.5,20156.0,116
2026.07.20 08:05:00,20156.0,20156.9,20150.7,20154.1,584
2026.07.20 08:06:00,20154.1,20158.6,20153.9,20154.4,511
2026.07.20 08:07:00,20154.4,20159.0,20152.8,20156.5,176
2026.07.20 08:08:00,20156.5,20158.9,20154.0,20157.1,613
2026.07.20 08:09:00,20157.1,20158.3,20150.4,20153.7,752
2026.07.20 08:10:00,20153.7,20159.0,20152.1,20155.1,872
2026.07.20 08:11:00,20155.1,20155.4,20149.4,20150.5,251
2026.07.20 08:12:00,20150.5,20152.4,20145.5,20152.2,859
2026.07.20 08:13:00,20152.2,20154.6,20145.1,20148.8,712
2026.07.20 08:14:00,20148.8,20151.6,20144.6,20150.2,322
2026.07.20 08:15:00,20150.2,20152.9,20146.5,20152.0,275
2026.07.20 08:16:00,20152.0,20153.2,20145.4,20149.1,629
2026.07.20 08:17:00,20149.1,20153.0,20139.6,20144.5,885
2026.07.20 08:18:00,20144.5,20147.7,20144.0,20145.6,167
2026.07.20 08:19:00,20145.6,20145.7,20138.4,20140.0,117
2026.07.20 08:20:00,20140.0,20145.1,20135.6,20142.2,620
2026.07.20 08:21:00,20142.2,20143.3,20134.0,20136.3,635
2026.07.20 08:22:00,20136.3,20144.0,20132.7,20140.3,838
2026.07.20 08:23:00,20140.3,20142.5,20137.1,20139.3,228
2026.07.20 08:24:00,20139.3,20140.0,20135.0,20140.0,308
2026.07.20 08:25:00,20140.0,20141.5,20131.8,20136.4,220
2026.07.20 08:26:00,20136.4,20140.1,20136.3,20139.0,502
2026.07.20 08:27:00,20139.0,20140.8,20136.9,20140.1,202
2026.07.20 08:28:00,20140.1,20143.1,20136.6,20141.3,638
2026.07.20 08:29:00,20141.3,20143.3,20137.9,20138.2,762
2026.07.20 08:30:00,20138.2,20143.5,20133.6,20141.3,141
2026.07.20 08:31:00,20141.3,20141.6,20138.1,20139.8,231
2026.07.20 08:32:00,20139.8,20143.1,20137.7,20141.3,678
2026.07.20 08:33:00,20141.3,20147.7,20137.0,20142.7,922
2026.07.20 08:34:00,20142.7,20146.6,20138.9,20139.1,484
2026.07.20 08:35:00,20139.1,20141.1,20138.1,20139.2,559
2026.07.20 08:36:00,20139.2,20146.0,20137.9,20142.5,798
2026.07.20 08:37:00,20142.5,20147.0,20137.1,20141.3,261
2026.07.20 08:38:00,20141.3,20142.5,20136.1,20141.0,368
2026.07.20 08:39:00,20141.0,20146.3,20140.8,20144.0,148
2026.07.20 08:40:00,20144.0,20144.4,20139.3,20140.3,941
2026.07.20 08:41:00,20140.3,20141.4,20138.2,20139.6,279
2026.07.20 08:42:00,20139.6,20146.9,20135.4,20142.5,738
2026.07.20 08:43:00,20142.5,20146.2,20140.5,20143.7,836
2026.07.20 08:44:00,20143.7,20147.3,20139.9,20144.9,535
2026.07.20 08:45:00,20144.9,20148.0,20142.3,20144.4,983
2026.07.20 08:46:00,20144.4,20145.7,20144.2,20144.6,651
2026.07.20 08:47:00,20144.6,20148.7,20141.4,20145.1,856
2026.07.20 08:48:00,20145.1,20146.9,20139.0,20142.7,952
2026.07.20 08:49:00,20142.7,20147.7,20141.4,20142.8,621
2026.07.20 08:50:00,20142.8,20144.6,20141.7,20142.0,469
2026.07.20 08:51:00,20142.0,20144.5,20138.4,20141.3,152
2026.07.20 08:52:00,20141.3,20142.0,20139.6,20140.8,551
2026.07.20 08:53:00,20140.8,20148.0,20140.1,20145.8,763
2026.07.20 08:54:00,20145.8,20149.2,20143.7,20144.5,207
2026.07.20 08:55:00,20144.5,20144.7,20139.6,20144.3,652
2026.07.20 08:56:00,20144.3,20145.7,20140.1,20141.8,800
2026.07.20 08:57:00,20141.8,20144.3,20138.6,20142.6,107
2026.07.20 08:58:00,20142.6,20145.0,20138.2,20142.2,564
